#,Timestamp,Frame_Number,X_pix,Y_pix,MM,EV1.1,EV1.1_Track_Length_pix,EV1.2,EV1.2_Track_Length_pix
1,0.033333,1,176.89,380.37,26,0,0.00,0,0.00
2,0.066666,2,176.79,380.18,14,0,0.00,0,0.00
3,0.099999,3,176.79,380.18,11,0,0.00,0,0.00
4,0.133332,4,176.92,379.79,13,0,0.00,0,0.00
5,0.166665,5,176.94,379.54,10,0,0.00,0,0.00
6,0.199998,6,176.94,379.54,6,0,0.00,0,0.00
7,0.233331,7,176.88,379.18,13,0,0.00,0,0.00
8,0.266664,8,176.88,379.18,9,0,0.00,0,0.00
9,0.299997,9,176.88,379.18,12,0,0.00,0,0.00
10,0.333330,10,176.66,378.96,10,0,0.00,0,0.00
11,0.366663,11,176.66,378.96,12,0,0.00,0,0.00
12,0.399996,12,176.88,378.73,14,0,0.00,0,0.00
13,0.433329,13,176.88,378.73,7,1,1.87,0,0.00
14,0.466662,14,176.88,378.73,10,1,1.87,0,0.00
15,0.499995,15,176.86,378.51,9,1,2.10,0,0.00
16,0.533328,16,176.86,378.51,8,1,2.10,0,0.00
17,0.566661,17,176.86,378.51,9,1,2.10,0,0.00
18,0.599994,18,176.86,378.51,6,1,2.10,0,0.00
19,0.633327,19,176.86,378.51,11,1,2.10,0,0.00
20,0.666660,20,177.04,378.34,8,1,2.34,0,0.00
21,0.699993,21,177.04,378.34,9,1,2.34,0,0.00
22,0.733326,22,177.04,378.34,12,1,2.34,0,0.00
23,0.766659,23,177.04,378.34,24,1,2.34,0,0.00
24,0.799992,24,177.17,379.50,48,1,3.50,0,0.00
25,0.833325,25,177.09,380.49,43,1,4.50,0,0.00
26,0.866658,26,176.83,380.52,43,1,4.76,0,0.00
27,0.899991,27,176.96,380.15,27,1,5.15,0,0.00
28,0.933324,28,177.53,379.98,38,1,5.75,0,0.00
29,0.966657,29,177.50,379.47,31,1,6.25,0,0.00
30,0.999990,30,177.50,379.47,16,1,6.25,0,0.00
31,1.033323,31,177.35,379.21,20,1,6.55,0,0.00
32,1.066656,32,177.35,379.21,8,1,6.55,0,0.00
33,1.099989,33,177.35,379.21,11,1,6.55,0,0.00
34,1.133322,34,177.35,379.21,10,1,6.55,0,0.00
35,1.166655,35,177.72,378.85,24,1,7.07,0,0.00
36,1.199988,36,177.74,378.44,18,1,7.48,0,0.00
37,1.233321,37,177.72,378.02,23,1,7.91,0,0.00
38,1.266654,38,177.44,377.50,26,1,8.49,0,0.00
39,1.299987,39,177.27,377.23,17,1,8.81,0,0.00
40,1.333320,40,177.36,376.96,13,1,9.09,0,0.00
41,1.366653,41,177.27,377.14,14,1,9.29,0,0.00
42,1.399986,42,177.59,378.03,41,1,10.24,0,0.00
43,1.433319,43,177.84,379.25,55,1,11.49,0,0.00
44,1.466652,44,177.73,379.42,36,1,11.69,0,0.00
45,1.499985,45,177.72,379.06,37,1,12.05,0,0.00
46,1.533318,46,178.14,378.19,49,1,13.02,0,0.00
